id,CITY,COUNT,SUBJ,SEX,AGE,RELI,PRAC,FOCC,MOCC,FIEL,EMOT,WHEN,LONG,INTS,ERGO,TROPHO,TEMPER,EXPRES,MOVE,EXP1,EXP2,EXP10,PARAL,CON,EXPC,PLEA,PLAN,FAIR,CAUSE,COPING,MORL,SELF,RELA,VERBAL,NEUTRO,FIELD1,FIELD3,FIELD2,MYKEY,SIT,STATE
11001,1,1,1,1,33,1,2,6,1,2,4,4,4,4,1,1,0,1,0,0,1,0,1,2,1,3,3,3,3,5,0,1,1,0,2,sadness,4,4,110014,When I lost the person who meant the most to me. ,1
11001,1,1,1,1,33,1,2,6,1,2,5,4,4,4,3,0,0,0,0,0,0,0,1,1,1,3,0,0,4,1,0,0,2,0,0,disgust,4,4,110015,"The time I knocked a deer down - the sight of the animal's à injuries and helplessness.  The realization that the animal was à so badly hurt that it had to be put down, and when the animal à screamed at the moment of death.",1
11002,1,1,2,2,23,0,0,7,5,2,3,3,3,4,2,0,0,2,0,0,0,1,2,1,1,2,3,0,2,1,3,2,1,3,0,anger,3,4,110023,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,1
11002,1,1,2,2,23,0,0,7,5,2,4,3,4,4,0,2,0,1,0,0,0,0,0,3,2,3,3,3,2,3,3,1,1,0,2,sadness,4,4,110024,When my friends did not ask me to go to a New Year's party à with them.,1
11003,1,1,3,2,22,8,2,4,6,2,3,3,4,4,4,1,0,2,0,0,1,0,2,2,1,3,3,3,2,1,0,1,1,2,2,anger,4,4,110033,When I had been obviously unjustly treated and had no possibility à of elucidating this.,1
11003,1,1,3,2,22,8,2,4,6,2,5,2,4,4,3,0,-1,2,-1,0,0,0,2,2,3,3,3,0,0,1,3,3,1,2,0,disgust,4,4,110035,At a gathering I found myself involuntarily sitting next to two à people who expressed opinions that I considered very low and à discriminating.,1
11004,1,1,4,1,23,8,2,6,4,2,2,4,4,4,0,0,0,0,-1,0,0,0,0,3,3,3,1,1,1,3,0,2,0,0,0,fear,4,4,110042,"When, for the first time I realized the meaning of death.",1
11004,1,1,4,1,23,8,2,6,4,2,3,2,1,4,2,0,0,1,0,0,0,0,1,1,3,1,2,3,3,4,3,3,1,0,0,anger,1,4,110043,When a car is overtaking another and I am forced to drive off the à road.,1
11006,1,1,6,1,23,1,2,0,0,2,5,4,2,4,0,0,0,0,0,0,0,0,0,1,1,3,2,1,2,1,3,0,1,0,0,disgust,2,4,110065,Friends who torture animals.,1
11007,1,1,7,2,35,0,2,0,8,2,1,4,4,4,0,0,1,2,1,1,0,0,1,2,3,1,0,3,0,4,1,3,3,3,0,joy,4,4,110071,When I had my children.,1
11007,1,1,7,2,35,0,2,0,8,2,2,1,1,4,3,0,-1,2,0,0,0,0,2,1,1,3,0,0,0,5,0,2,2,0,0,fear,1,4,110072,When my 2 year old son climbed up and sat on the 7th floor à balcony with his legs hanging out.  He was holding on tightly to à the upper railing of the balcony but he could have easily lost à his balance when he sat down.,1
